"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num District total","num District rptg","over votes","under votes"
724,"For Members of the County Committee - Newark S-29 (DEM) (Vote For 2)","Julius S. MONTFORD","DEM",31,58.49,0,53,1,1,"0","53"
725,"For Members of the County Committee - Newark S-29 (DEM) (Vote For 2)","Jheryn S. KENNEY","DEM",22,41.51,0,53,1,1,"0","53"
726,"For Members of the County Committee - Newark S-30 (DEM) (Vote For 2)","Haneefah K. WEBSTER","DEM",36,53.73,0,64,1,1,"0","61"
727,"For Members of the County Committee - Newark S-30 (DEM) (Vote For 2)","Samiyah R. WEBSTER","DEM",31,46.27,0,64,1,1,"0","61"
728,"For Members of the County Committee - Newark S-32 (DEM) (Vote For 2)","Jay C. OKON","DEM",22,46.81,0,36,1,1,"0","23"
729,"For Members of the County Committee - Newark S-32 (DEM) (Vote For 2)","Rhonda R. WILLIAMSON-OKON","DEM",18,38.30,0,36,1,1,"0","23"
730,"For Members of the County Committee - Newark S-32 (DEM) (Vote For 2)","Nadirah A. BROWN","DEM",7,14.89,0,36,1,1,"0","23"
731,"For Members of the County Committee - Newark S-34 (DEM) (Vote For 2)","Torrence L. MINATEE","DEM",19,46.34,0,38,1,1,"0","33"
732,"For Members of the County Committee - Newark S-34 (DEM) (Vote For 2)","Linda WILLIAMS","DEM",22,53.66,0,38,1,1,"0","33"
733,"For Members of the County Committee - Newark S-35 (DEM) (Vote For 2)","Monique O. ILUONOKHALUMHE","DEM",37,64.91,0,42,1,1,"0","27"
734,"For Members of the County Committee - Newark S-35 (DEM) (Vote For 2)","Martha A. ILUONOKHALUMHE","DEM",20,35.09,0,42,1,1,"0","27"
735,"For Members of the County Committee - Newark S-36 (DEM) (Vote For 2)","Hasani K. COUNCIL","DEM",71,61.21,0,92,1,1,"0","66"
736,"For Members of the County Committee - Newark S-36 (DEM) (Vote For 2)","Bettye J. DICKERSON","DEM",45,38.79,0,92,1,1,"0","66"
737,"For Members of the County Committee - Newark S-37 (DEM) (Vote For 2)","Traci S. ADAMS","DEM",38,58.46,0,52,1,1,"0","37"
738,"For Members of the County Committee - Newark S-37 (DEM) (Vote For 2)","Howard A. BROWN, Jr.","DEM",27,41.54,0,52,1,1,"0","37"
739,"For Members of the County Committee - Newark S-38 (DEM) (Vote For 2)","Towanna MURRAY","DEM",53,51.96,0,88,1,1,"0","70"
740,"For Members of the County Committee - Newark S-38 (DEM) (Vote For 2)","Ernest TURNER","DEM",49,48.04,0,88,1,1,"0","70"
741,"For Members of the County Committee - Newark S-39 (DEM) (Vote For 2)","David A. McKNIGHT","DEM",87,55.77,0,135,1,1,"0","112"
742,"For Members of the County Committee - Newark S-39 (DEM) (Vote For 2)","Donald L. JACKSON","DEM",69,44.23,0,135,1,1,"0","112"
743,"For Members of the County Committee - Newark S-40 (DEM) (Vote For 2)","Tarsha E. PRINDLE-HARTLEY","DEM",68,66.67,0,78,1,1,"0","52"
744,"For Members of the County Committee - Newark S-40 (DEM) (Vote For 2)","John M. JEWELL, Jr.","DEM",34,33.33,0,78,1,1,"0","52"
745,"For Members of the County Committee - Newark S-41 (DEM) (Vote For 2)","John E. McMILLIAN, Jr.","DEM",44,57.89,0,75,1,1,"0","68"
746,"For Members of the County Committee - Newark S-41 (DEM) (Vote For 2)","Daphne L. TURNER","DEM",32,42.11,0,75,1,1,"0","68"
747,"For Members of the County Committee - Newark S-42 (DEM) (Vote For 2)","Emma M. HERRON","DEM",31,62.00,0,38,1,1,"0","26"
748,"For Members of the County Committee - Newark S-42 (DEM) (Vote For 2)","Tyrone MANS","DEM",19,38.00,0,38,1,1,"0","26"
749,"For Members of the County Committee - Newark S-44 (DEM) (Vote For 2)","Robyn L. GILLIARD","DEM",57,43.18,0,91,1,1,"0","44"
750,"For Members of the County Committee - Newark S-44 (DEM) (Vote For 2)","Harvey V. PHILLIPS","DEM",36,27.27,0,91,1,1,"0","44"
751,"For Members of the County Committee - Newark S-44 (DEM) (Vote For 2)","Eric BRYANT","DEM",19,14.39,0,91,1,1,"0","44"
752,"For Members of the County Committee - Newark S-44 (DEM) (Vote For 2)","Aaminah U. ALI","DEM",20,15.15,0,91,1,1,"0","44"
753,"For Members of the County Committee - Newark S-45 (DEM) (Vote For 2)","James H. YOUNG, Jr.","DEM",53,66.25,0,71,1,1,"0","49"
754,"For Members of the County Committee - Newark S-45 (DEM) (Vote For 2)","Martina A. ZIMMERMAN","DEM",27,33.75,0,71,1,1,"0","49"
755,"For Members of the County Committee - Newark S-46 (DEM) (Vote For 2)","Cleopatra G. TUCKER","DEM",91,100.00,0,109,1,1,"0","118"
756,"For Members of the County Committee - Newark S-48 (DEM) (Vote For 2)","Crystal R. SIMMONS","DEM",62,68.89,0,87,1,1,"0","78"
757,"For Members of the County Committee - Newark S-48 (DEM) (Vote For 2)","Teresa R. WRIGHT","DEM",28,31.11,0,87,1,1,"0","78"
758,"For Members of the County Committee - Newark S-49 (DEM) (Vote For 2)","Leroy SHAW","DEM",65,52.85,0,95,1,1,"0","62"
759,"For Members of the County Committee - Newark S-49 (DEM) (Vote For 2)","Eileen SHAW","DEM",58,47.15,0,95,1,1,"0","62"
760,"For Members of the County Committee - Newark S-51 (DEM) (Vote For 2)","Gretta L. JOHNSON","DEM",23,100.00,0,23,1,1,"0","20"
761,"For Members of the County Committee - Newark E-1 (DEM) (Vote For 2)","Magdalena HUZAR","DEM",13,50.00,0,44,1,1,"0","34"
762,"For Members of the County Committee - Newark E-1 (DEM) (Vote For 2)","Maria-Fatima R. OLIVEIRA","DEM",13,50.00,0,44,1,1,"0","34"
763,"For Members of the County Committee - Newark E-2 (DEM) (Vote For 2)","Adriana C. NOBOA","DEM",13,50.00,0,39,1,1,"0","26"
764,"For Members of the County Committee - Newark E-2 (DEM) (Vote For 2)","Kelly A. GRACA","DEM",13,50.00,0,39,1,1,"0","26"
765,"For Members of the County Committee - Newark E-3 (DEM) (Vote For 2)","Liliana G. OLIVEIRA-SAMPAIO","DEM",33,53.23,0,53,1,1,"0","24"
766,"For Members of the County Committee - Newark E-3 (DEM) (Vote For 2)","Cristian Saragoca FERREIRA","DEM",29,46.77,0,53,1,1,"0","24"
767,"For Members of the County Committee - Newark E-4 (DEM) (Vote For 2)","Angela D. PINHEIRO","DEM",28,49.12,0,54,1,1,"0","37"
768,"For Members of the County Committee - Newark E-4 (DEM) (Vote For 2)","Glendaliz NAVAS","DEM",29,50.88,0,54,1,1,"0","37"
769,"For Members of the County Committee - Newark E-5 (DEM) (Vote For 2)","Katheline N. BICALHO","DEM",20,50.00,0,47,1,1,"0","30"
770,"For Members of the County Committee - Newark E-5 (DEM) (Vote For 2)","Gabriel B. TORRES","DEM",20,50.00,0,47,1,1,"0","30"
771,"For Members of the County Committee - Newark E-6 (DEM) (Vote For 2)","Fanny PLAZA","DEM",3,50.00,0,7,1,1,"0","6"
772,"For Members of the County Committee - Newark E-6 (DEM) (Vote For 2)","Carlos A. SANTOS","DEM",3,50.00,0,7,1,1,"0","6"
773,"For Members of the County Committee - Newark E-7 (DEM) (Vote For 2)","Nancy L. MINCEY","DEM",21,60.00,0,37,1,1,"0","26"
774,"For Members of the County Committee - Newark E-7 (DEM) (Vote For 2)","Jose BLANCO","DEM",14,40.00,0,37,1,1,"0","26"
775,"For Members of the County Committee - Newark E-8 (DEM) (Vote For 2)","Maria COUTINHO","DEM",24,48.00,0,60,1,1,"0","34"
776,"For Members of the County Committee - Newark E-8 (DEM) (Vote For 2)","Dina Maria SANTOS","DEM",26,52.00,0,60,1,1,"0","34"
777,"For Members of the County Committee - Newark E-9 (DEM) (Vote For 2)","Anthony MARIN","DEM",7,53.85,0,10,1,1,"0","5"
778,"For Members of the County Committee - Newark E-9 (DEM) (Vote For 2)","Sandra M. PINHEIRO","DEM",6,46.15,0,10,1,1,"0","5"
779,"For Members of the County Committee - Newark E-10 (DEM) (Vote For 2)","John T. GIORDANO","DEM",37,53.62,0,81,1,1,"0","47"
780,"For Members of the County Committee - Newark E-10 (DEM) (Vote For 2)","Jessica Costa SILVA","DEM",32,46.38,0,81,1,1,"0","47"
781,"For Members of the County Committee - Newark E-11 (DEM) (Vote For 2)","Sandra E. ROMERO","DEM",19,55.88,0,31,1,1,"0","18"
782,"For Members of the County Committee - Newark E-11 (DEM) (Vote For 2)","Andre Sousa ESTEVES","DEM",15,44.12,0,31,1,1,"0","18"
783,"For Members of the County Committee - Newark E-12 (DEM) (Vote For 2)","Emily PEREZ","DEM",27,65.85,0,42,1,1,"0","29"
784,"For Members of the County Committee - Newark E-12 (DEM) (Vote For 2)","Yvonne GODFREY","DEM",14,34.15,0,42,1,1,"0","29"
785,"For Members of the County Committee - Newark E-13 (DEM) (Vote For 2)","Ahmed I. ISHMA-EL","DEM",9,52.94,0,25,1,1,"0","19"
786,"For Members of the County Committee - Newark E-13 (DEM) (Vote For 2)","Marly MATTOS","DEM",8,47.06,0,25,1,1,"0","19"
787,"For Members of the County Committee - Newark E-14 (DEM) (Vote For 2)","Daniel A. SERRATELLI","DEM",31,55.36,0,66,1,1,"0","42"
788,"For Members of the County Committee - Newark E-14 (DEM) (Vote For 2)","Elisa M. ABRANTES","DEM",25,44.64,0,66,1,1,"0","42"
789,"For Members of the County Committee - Newark E-15 (DEM) (Vote For 2)","Maria F. RAINHA","DEM",19,55.88,0,30,1,1,"0","10"
790,"For Members of the County Committee - Newark E-15 (DEM) (Vote For 2)","Lucille ANNUNZIATA","DEM",15,44.12,0,30,1,1,"0","10"
791,"For Members of the County Committee - Newark E-16 (DEM) (Vote For 2)","Paula C. VIEIRA","DEM",28,60.87,0,47,1,1,"0","30"
792,"For Members of the County Committee - Newark E-16 (DEM) (Vote For 2)","Luis MATOS","DEM",18,39.13,0,47,1,1,"0","30"
793,"For Members of the County Committee - Newark E-18 (DEM) (Vote For 2)","Vanessa L. MARQUES","DEM",28,52.83,0,47,1,1,"0","27"
794,"For Members of the County Committee - Newark E-18 (DEM) (Vote For 2)","Vera Lucia BARBOSA","DEM",25,47.17,0,47,1,1,"0","27"
795,"For Members of the County Committee - Newark E-19 (DEM) (Vote For 2)","Eric NOVAIS","DEM",27,48.21,0,44,1,1,"0","18"
796,"For Members of the County Committee - Newark E-19 (DEM) (Vote For 2)","Isabel CALERO","DEM",29,51.79,0,44,1,1,"0","18"
797,"For Members of the County Committee - Newark E-20 (DEM) (Vote For 2)","Maria PIMENTEL","DEM",32,64.00,0,60,1,1,"0","46"
798,"For Members of the County Committee - Newark E-20 (DEM) (Vote For 2)","Jorge ROLDAN","DEM",18,36.00,0,60,1,1,"0","46"
799,"For Members of the County Committee - Newark E-21 (DEM) (Vote For 2)","Ismenia R. SOUSA","DEM",37,48.05,0,64,1,1,"0","35"
800,"For Members of the County Committee - Newark E-21 (DEM) (Vote For 2)","Julio HERNANDEZ","DEM",40,51.95,0,64,1,1,"0","35"
801,"For Members of the County Committee - Newark E-25 (DEM) (Vote For 2)","Debra SALTERS","DEM",22,20.56,0,69,1,1,"0","29"
802,"For Members of the County Committee - Newark E-25 (DEM) (Vote For 2)","Osvaldo MERCADO","DEM",51,47.66,0,69,1,1,"0","29"
803,"For Members of the County Committee - Newark E-25 (DEM) (Vote For 2)","Renee D. RUFALO-SILVA","DEM",34,31.78,0,69,1,1,"0","29"
804,"For Members of the County Committee - Newark E-29 (DEM) (Vote For 2)","Hiteefah J. FLYTHE","DEM",14,66.67,0,28,1,1,"0","35"
805,"For Members of the County Committee - Newark E-29 (DEM) (Vote For 2)","Raphael REINOSO","DEM",7,33.33,0,28,1,1,"0","35"
806,"For Members of the County Committee - Newark E-30 (DEM) (Vote For 2)","Jannie S. GASS","DEM",36,75.00,0,100,1,1,"0","136"
807,"For Members of the County Committee - Newark E-30 (DEM) (Vote For 2)","Gonzalo MALDONADO","DEM",12,25.00,0,100,1,1,"0","136"
808,"For Members of the County Committee - Newark W-6 (DEM) (Vote For 2)","Ruben TORRES","DEM",45,73.77,0,66,1,1,"0","61"
809,"For Members of the County Committee - Newark W-6 (DEM) (Vote For 2)","Bonita E. HOLMES","DEM",16,26.23,0,66,1,1,"0","61"
810,"For Members of the County Committee - Newark W-7 (DEM) (Vote For 2)","Duprè L. KELLY","DEM",40,70.18,0,49,1,1,"0","37"
811,"For Members of the County Committee - Newark W-7 (DEM) (Vote For 2)","Mariely CABALLERO","DEM",17,29.82,0,49,1,1,"0","37"
812,"For Members of the County Committee - Newark W-10 (DEM) (Vote For 2)","Alex LORENZO","DEM",54,62.07,0,71,1,1,"0","49"
813,"For Members of the County Committee - Newark W-10 (DEM) (Vote For 2)","Marisol RODRIGUEZ","DEM",23,26.44,0,71,1,1,"0","49"
814,"For Members of the County Committee - Newark W-10 (DEM) (Vote For 2)","Eloina RIVERA","DEM",10,11.49,0,71,1,1,"0","49"
815,"For Members of the County Committee - Newark W-13 (DEM) (Vote For 2)","Gilda L. CURETON","DEM",35,40.70,0,75,1,1,"6","45"
816,"For Members of the County Committee - Newark W-13 (DEM) (Vote For 2)","Ronald A. JOHNSON","DEM",22,25.58,0,75,1,1,"6","45"
817,"For Members of the County Committee - Newark W-13 (DEM) (Vote For 2)","Teri R. BENNETT","DEM",13,15.12,0,75,1,1,"6","45"
818,"For Members of the County Committee - Newark W-13 (DEM) (Vote For 2)","Juan R. SANTIAGO","DEM",16,18.60,0,75,1,1,"6","45"
819,"For Members of the County Committee - Newark W-17 (DEM) (Vote For 2)","Andre Vincent TYLER","DEM",25,42.37,0,50,1,1,"2","37"
820,"For Members of the County Committee - Newark W-17 (DEM) (Vote For 2)","Kimberly B. WILLOCKS","DEM",24,40.68,0,50,1,1,"2","37"
821,"For Members of the County Committee - Newark W-17 (DEM) (Vote For 2)","Carolyn S. SPURLING","DEM",10,16.95,0,50,1,1,"2","37"
822,"For Members of the County Committee - Newark W-19 (DEM) (Vote For 2)","Elaine McDANIELS","DEM",9,100.00,0,15,1,1,"0","17"
823,"For Members of the County Committee - Newark W-21 (DEM) (Vote For 2)","Mary A. HOGUE","DEM",36,66.67,0,47,1,1,"0","38"
824,"For Members of the County Committee - Newark W-21 (DEM) (Vote For 2)","Harrison HOGUE","DEM",18,33.33,0,47,1,1,"0","38"
825,"For Members of the County Committee - Newark W-22 (DEM) (Vote For 2)","Melissa M. LEUTHNER","DEM",29,42.65,0,45,1,1,"0","22"
826,"For Members of the County Committee - Newark W-22 (DEM) (Vote For 2)","Shakeera M. WHITE","DEM",29,42.65,0,45,1,1,"0","22"
827,"For Members of the County Committee - Newark W-22 (DEM) (Vote For 2)","Rasheeta E. MILTON","DEM",10,14.71,0,45,1,1,"0","22"
828,"For Members of the County Committee - Newark W-23 (DEM) (Vote For 2)","Robert Kevin WATERS","DEM",36,62.07,0,46,1,1,"0","32"
829,"For Members of the County Committee - Newark W-23 (DEM) (Vote For 2)","Veronica MITCHELL","DEM",17,29.31,0,46,1,1,"0","32"
830,"For Members of the County Committee - Newark W-23 (DEM) (Vote For 2)","Decanda Michelle FAULK","DEM",5,8.62,0,46,1,1,"0","32"
831,"For Members of the County Committee - Newark W-24 (DEM) (Vote For 2)","Antonio PADILLA","DEM",24,38.71,0,45,1,1,"2","26"
832,"For Members of the County Committee - Newark W-24 (DEM) (Vote For 2)","Wayne M. PARKS","DEM",14,22.58,0,45,1,1,"2","26"
833,"For Members of the County Committee - Newark W-24 (DEM) (Vote For 2)","Sameen Y. PERRY","DEM",15,24.19,0,45,1,1,"2","26"
834,"For Members of the County Committee - Newark W-24 (DEM) (Vote For 2)","Trisha A. SCIPIO","DEM",9,14.52,0,45,1,1,"2","26"
835,"For Members of the County Committee - Newark W-25 (DEM) (Vote For 2)","Levon JOHNSON","DEM",23,26.44,0,64,1,1,"0","37"
836,"For Members of the County Committee - Newark W-25 (DEM) (Vote For 2)","Ruth SUBER","DEM",17,19.54,0,64,1,1,"0","37"
837,"For Members of the County Committee - Newark W-25 (DEM) (Vote For 2)","Altarik A. CLARK","DEM",17,19.54,0,64,1,1,"0","37"
838,"For Members of the County Committee - Newark W-25 (DEM) (Vote For 2)","Marie F. NAZAIRE","DEM",25,28.74,0,64,1,1,"0","37"
839,"For Members of the County Committee - Newark W-25 (DEM) (Vote For 2)","Amina HYLTON","DEM",5,5.75,0,64,1,1,"0","37"
840,"For Members of the County Committee - Newark W-26 (DEM) (Vote For 2)","Lamar T. ELAM","DEM",35,100.00,0,46,1,1,"0","55"
841,"For Members of the County Committee - Newark W-27 (DEM) (Vote For 2)","Clifford E. BARNETT","DEM",20,43.48,0,49,1,1,"0","42"
842,"For Members of the County Committee - Newark W-27 (DEM) (Vote For 2)","Denisah WILLIAMSON","DEM",20,43.48,0,49,1,1,"0","42"
843,"For Members of the County Committee - Newark W-27 (DEM) (Vote For 2)","Mayra COQUET","DEM",6,13.04,0,49,1,1,"0","42"
844,"For Members of the County Committee - Newark W-28 (DEM) (Vote For 2)","Patricia PORTERFIELD","DEM",35,70.00,0,48,1,1,"0","44"
845,"For Members of the County Committee - Newark W-28 (DEM) (Vote For 2)","Maggie JACKSON","DEM",15,30.00,0,48,1,1,"0","44"
846,"For Members of the County Committee - Newark W-29 (DEM) (Vote For 2)","James WILLIAMS","DEM",27,65.85,0,36,1,1,"0","30"
847,"For Members of the County Committee - Newark W-29 (DEM) (Vote For 2)","Kienast L. WHITE","DEM",14,34.15,0,36,1,1,"0","30"
848,"For Members of the County Committee - Newark W-30 (DEM) (Vote For 2)","Mark L. SWAN","DEM",48,67.61,0,75,1,1,"0","73"
849,"For Members of the County Committee - Newark W-30 (DEM) (Vote For 2)","Albert RUFFIN","DEM",23,32.39,0,75,1,1,"0","73"
850,"For Members of the County Committee - Newark W-31 (DEM) (Vote For 2)","Andre FRISON","DEM",69,58.47,0,107,1,1,"0","93"
851,"For Members of the County Committee - Newark W-31 (DEM) (Vote For 2)","Allison Karen JAMES-FRISON","DEM",49,41.53,0,107,1,1,"0","93"
852,"For Members of the County Committee - Newark W-32 (DEM) (Vote For 2)","Jeanne H. BELL","DEM",70,60.34,0,100,1,1,"0","78"
853,"For Members of the County Committee - Newark W-32 (DEM) (Vote For 2)","Rohnda L. WISE","DEM",46,39.66,0,100,1,1,"0","78"
854,"For Members of the County Committee - Newark W-33 (DEM) (Vote For 2)","Sabrina M. ROSS","DEM",62,73.81,0,85,1,1,"0","83"
855,"For Members of the County Committee - Newark W-33 (DEM) (Vote For 2)","Dorian D. HERRELL","DEM",22,26.19,0,85,1,1,"0","83"
856,"For Members of the County Committee - Newark W-34 (DEM) (Vote For 2)","Veracheri MONCUR","DEM",40,49.38,0,76,1,1,"0","65"
857,"For Members of the County Committee - Newark W-34 (DEM) (Vote For 2)","Chigozie U. ONYEMA","DEM",41,50.62,0,76,1,1,"0","65"
858,"For Members of the County Committee - Newark W-35 (DEM) (Vote For 2)","Audris B. TORRES","DEM",54,56.84,0,82,1,1,"0","53"
859,"For Members of the County Committee - Newark W-35 (DEM) (Vote For 2)","Geraldine TOUSSAINT","DEM",41,43.16,0,82,1,1,"0","53"
860,"For Members of the County Committee - Newark W-36 (DEM) (Vote For 2)","Larry J. JONES","DEM",37,17.70,0,153,1,1,"2","89"
861,"For Members of the County Committee - Newark W-36 (DEM) (Vote For 2)","Lavita E. JOHNSON","DEM",116,55.50,0,153,1,1,"2","89"
862,"For Members of the County Committee - Newark W-36 (DEM) (Vote For 2)","Latisha F. JOHNSON","DEM",14,6.70,0,153,1,1,"2","89"
863,"For Members of the County Committee - Newark W-36 (DEM) (Vote For 2)","Gerrell ELLIOTT","DEM",42,20.10,0,153,1,1,"2","89"
864,"For Members of the County Committee - Newark W-37 (DEM) (Vote For 2)","James T. CRAWFORD","DEM",51,59.30,0,73,1,1,"0","54"
865,"For Members of the County Committee - Newark W-37 (DEM) (Vote For 2)","Norma L. JONES","DEM",35,40.70,0,73,1,1,"0","54"
866,"For Members of the County Committee - Newark W-38 (DEM) (Vote For 2)","Stacy M. FOSTER-RAHEEM","DEM",48,29.45,0,113,1,1,"2","59"
867,"For Members of the County Committee - Newark W-38 (DEM) (Vote For 2)","Tariq T. RAHEEM","DEM",40,24.54,0,113,1,1,"2","59"
868,"For Members of the County Committee - Newark W-38 (DEM) (Vote For 2)","Frederick MORRAST","DEM",23,14.11,0,113,1,1,"2","59"
869,"For Members of the County Committee - Newark W-38 (DEM) (Vote For 2)","Mamie BRIDGEFORTH","DEM",52,31.90,0,113,1,1,"2","59"
870,"For Members of the County Committee - Newark W-39 (DEM) (Vote For 2)","John L. SMITH","DEM",39,69.64,0,54,1,1,"0","52"
871,"For Members of the County Committee - Newark W-39 (DEM) (Vote For 2)","Laronda R. LODGE","DEM",17,30.36,0,54,1,1,"0","52"
872,"For Members of the County Committee - Newark W-40 (DEM) (Vote For 2)","Bernard S. ROLLINS","DEM",61,40.13,0,144,1,1,"0","134"
873,"For Members of the County Committee - Newark W-40 (DEM) (Vote For 2)","Qasim A. RASHID","DEM",36,23.68,0,144,1,1,"0","134"
874,"For Members of the County Committee - Newark W-40 (DEM) (Vote For 2)","Edna M. RASHID","DEM",31,20.39,0,144,1,1,"0","134"
875,"For Members of the County Committee - Newark W-40 (DEM) (Vote For 2)","Evelyn JONES","DEM",24,15.79,0,144,1,1,"0","134"
876,"For Members of the County Committee - Newark W-41 (DEM) (Vote For 2)","Natasha M. STONE","DEM",51,70.83,0,70,1,1,"0","68"
877,"For Members of the County Committee - Newark W-41 (DEM) (Vote For 2)","Turhan A. WELCH","DEM",21,29.17,0,70,1,1,"0","68"
878,"For Members of the County Committee - Newark W-44 (DEM) (Vote For 2)","Flor T. CONCEPCION","DEM",24,60.00,0,37,1,1,"0","32"
879,"For Members of the County Committee - Newark W-44 (DEM) (Vote For 2)","Luis E. VELASCO-REYES","DEM",16,40.00,0,37,1,1,"0","32"
880,"For Members of the County Committee - Newark W-46 (DEM) (Vote For 2)","Jordy NIVAR","DEM",49,38.58,0,82,1,1,"0","29"
881,"For Members of the County Committee - Newark W-46 (DEM) (Vote For 2)","Gertrudis F. CATANO","DEM",29,22.83,0,82,1,1,"0","29"
882,"For Members of the County Committee - Newark W-46 (DEM) (Vote For 2)","Eusebia L. TEJADA","DEM",26,20.47,0,82,1,1,"0","29"
883,"For Members of the County Committee - Newark W-46 (DEM) (Vote For 2)","Shavorda BASKERVILLE","DEM",23,18.11,0,82,1,1,"0","29"
884,"For Members of the County Committee - Newark W-47 (DEM) (Vote For 2)","Lyndon F. BROWN","DEM",34,40.00,0,60,1,1,"0","35"
885,"For Members of the County Committee - Newark W-47 (DEM) (Vote For 2)","Mecal S. JONES","DEM",14,16.47,0,60,1,1,"0","35"
886,"For Members of the County Committee - Newark W-47 (DEM) (Vote For 2)","Ibn Najee THOMAS","DEM",16,18.82,0,60,1,1,"0","35"
887,"For Members of the County Committee - Newark W-47 (DEM) (Vote For 2)","Shirley M. THOMAS","DEM",21,24.71,0,60,1,1,"0","35"
888,"For Members of the County Committee - Newark W-48 (DEM) (Vote For 2)","Tawana J. JOHNSON-EMORY","DEM",22,39.29,0,49,1,1,"0","38"
889,"For Members of the County Committee - Newark W-48 (DEM) (Vote For 2)","Rosemary MURRAY","DEM",24,42.86,0,49,1,1,"0","38"
890,"For Members of the County Committee - Newark W-48 (DEM) (Vote For 2)","Taheera T. HOPKINS","DEM",10,17.86,0,49,1,1,"0","38"
891,"For Members of the County Committee - Newark W-49 (DEM) (Vote For 2)","Sanyika MONTAGUE","DEM",17,21.79,0,66,1,1,"0","40"
892,"For Members of the County Committee - Newark W-49 (DEM) (Vote For 2)","Gail BROWN","DEM",24,30.77,0,66,1,1,"0","40"
893,"For Members of the County Committee - Newark W-49 (DEM) (Vote For 2)","Marvin VILLETTE","DEM",20,25.64,0,66,1,1,"0","40"
894,"For Members of the County Committee - Newark W-49 (DEM) (Vote For 2)","Sheila A. MONTAGUE","DEM",17,21.79,0,66,1,1,"0","40"
895,"For Members of the County Committee - Newark C-1 (DEM) (Vote For 2)","Phillip A. DIXON","DEM",80,59.70,0,127,1,1,"0","112"
896,"For Members of the County Committee - Newark C-1 (DEM) (Vote For 2)","Jacqueline D. HINKSON","DEM",54,40.30,0,127,1,1,"0","112"
897,"For Members of the County Committee - Newark C-3 (DEM) (Vote For 2)","Alonzo McMILLAN","DEM",27,60.00,0,47,1,1,"0","41"
898,"For Members of the County Committee - Newark C-3 (DEM) (Vote For 2)","Kareem BLACKWELL","DEM",18,40.00,0,47,1,1,"0","41"
899,"For Members of the County Committee - Newark C-4 (DEM) (Vote For 2)","Terry GAYMON","DEM",41,59.42,0,71,1,1,"0","68"
900,"For Members of the County Committee - Newark C-4 (DEM) (Vote For 2)","Mary F. MacDONALD","DEM",28,40.58,0,71,1,1,"0","68"
901,"For Members of the County Committee - Newark C-5 (DEM) (Vote For 2)","Denise L. COOK","DEM",44,48.35,0,74,1,1,"0","54"
902,"For Members of the County Committee - Newark C-5 (DEM) (Vote For 2)","Deborah A. JONES","DEM",47,51.65,0,74,1,1,"0","54"
903,"For Members of the County Committee - Newark C-6 (DEM) (Vote For 2)","Reginald Y. BLEDSOE","DEM",37,66.07,0,51,1,1,"0","44"
904,"For Members of the County Committee - Newark C-6 (DEM) (Vote For 2)","Luther D. ROBERSON, III","DEM",19,33.93,0,51,1,1,"0","44"
905,"For Members of the County Committee - Newark C-7 (DEM) (Vote For 2)","Natasha COLLINS","DEM",82,65.08,0,104,1,1,"0","77"
906,"For Members of the County Committee - Newark C-7 (DEM) (Vote For 2)","Miguel A. GRIER","DEM",44,34.92,0,104,1,1,"0","77"
907,"For Members of the County Committee - Newark C-9 (DEM) (Vote For 2)","Zelestine GREEN","DEM",76,69.09,0,114,1,1,"0","111"
908,"For Members of the County Committee - Newark C-9 (DEM) (Vote For 2)","Doreen A. JONES","DEM",34,30.91,0,114,1,1,"0","111"
909,"For Members of the County Committee - Newark C-12 (DEM) (Vote For 2)","Janice PERRY","DEM",67,65.69,0,93,1,1,"0","84"
910,"For Members of the County Committee - Newark C-12 (DEM) (Vote For 2)","Eddie M. WATSON","DEM",35,34.31,0,93,1,1,"0","84"
911,"For Members of the County Committee - Newark C-15 (DEM) (Vote For 2)","Denise DAVIS","DEM",100,53.76,0,145,1,1,"0","96"
912,"For Members of the County Committee - Newark C-15 (DEM) (Vote For 2)","Lisa MITCHELSON-PARKER","DEM",86,46.24,0,145,1,1,"0","96"
913,"For Members of the County Committee - Newark C-17 (DEM) (Vote For 2)","Cassandra WRIGHT","DEM",93,65.49,0,118,1,1,"0","92"
914,"For Members of the County Committee - Newark C-17 (DEM) (Vote For 2)","James William WRIGHT, Jr.","DEM",49,34.51,0,118,1,1,"0","92"
915,"For Members of the County Committee - Newark C-20 (DEM) (Vote For 2)","Charles D. MATHIS","DEM",83,56.08,0,134,1,1,"0","110"
916,"For Members of the County Committee - Newark C-20 (DEM) (Vote For 2)","Lillie RIVERS","DEM",65,43.92,0,134,1,1,"0","110"
917,"For Members of the County Committee - Newark C-22 (DEM) (Vote For 2)","Shanique L. SPEIGHT","DEM",65,58.56,0,105,1,1,"0","96"
918,"For Members of the County Committee - Newark C-22 (DEM) (Vote For 2)","Bernice ROBINSON","DEM",46,41.44,0,105,1,1,"0","96"
919,"For Members of the County Committee - Newark C-23 (DEM) (Vote For 2)","Joshua Andre SPEIGHT","DEM",36,58.06,0,55,1,1,"0","46"
920,"For Members of the County Committee - Newark C-23 (DEM) (Vote For 2)","Andrew E. SPEIGHT","DEM",26,41.94,0,55,1,1,"0","46"
921,"For Members of the County Committee - Newark C-28 (DEM) (Vote For 2)","Kelvin HUNTER","DEM",33,100.00,0,46,1,1,"0","57"
922,"For Members of the County Committee - Newark C-32 (DEM) (Vote For 2)","Yomaira Bonilla REYES","DEM",13,72.22,0,28,1,1,"0","24"
